profile,actor,DPS,increase,
2T,Potion_of_Recklessness_2,354706,4.49%,
2T,Potion_of_Recklessness_1,353763,4.21%,
2T,Draught_of_Rampant_Abandon_2,353198,4.04%,
2T,Lights_Potential_2,351831,3.64%,
2T,Liquid_Luster_2,351676,3.59%,
2T,Draught_of_Rampant_Abandon_1,351142,3.44%,
2T,Lights_Potential_1,350070,3.12%,
2T,Flask_of_the_Magisters_2,350035,3.11%,
2T,Liquid_Luster_1,349840,3.05%,
2T,Flask_of_the_Blood_Knights_2,349816,3.05%,
2T,Flask_of_the_Shattered_Sun_2,349725,3.02%,
2T,Flask_of_the_Magisters_1,349089,2.83%,
2T,Flask_of_the_Blood_Knights_1,348888,2.77%,
2T,Flask_of_the_Shattered_Sun_1,348863,2.77%,
2T,Flask_of_Thalassian_Resistance_2,347018,2.22%,
2T,Flask_of_Thalassian_Resistance_1,346330,2.02%,
2T,Potion_of_Zealotry_2,340375,0.26%,
2T,Potion_of_Zealotry_1,340131,0.19%,
2T,Alluring_Nostrum_2,340086,0.18%,
2T,Alluring_Nostrum_1,339966,0.14%,
2T,Base,339476,0.00%,
