profile,actor,DPS,increase,
8T,Potion_of_Recklessness_2,1203595,16.52%,
8T,Draught_of_Rampant_Abandon_2,1194792,15.67%,
8T,Potion_of_Recklessness_1,1191370,15.34%,
8T,Lights_Potential_2,1179403,14.18%,
8T,Draught_of_Rampant_Abandon_1,1171362,13.40%,
8T,Lights_Potential_1,1155786,11.89%,
8T,Flask_of_the_Magisters_2,1063761,2.98%,
8T,Flask_of_the_Magisters_1,1061686,2.78%,
8T,Flask_of_Thalassian_Resistance_2,1059246,2.55%,
8T,Flask_of_the_Shattered_Sun_2,1058173,2.44%,
8T,Flask_of_the_Shattered_Sun_1,1057708,2.40%,
8T,Flask_of_Thalassian_Resistance_1,1057215,2.35%,
8T,Flask_of_the_Blood_Knights_1,1055516,2.18%,
8T,Flask_of_the_Blood_Knights_2,1055464,2.18%,
8T,Potion_of_Zealotry_2,1034747,0.17%,
8T,Potion_of_Zealotry_1,1034650,0.16%,
8T,Base,1032955,0.00%,
8T,Alluring_Nostrum_2,1032949,0.00%,
8T,Alluring_Nostrum_1,1031438,-0.15%,
