profile,actor,DPS,increase,
Dungeons-Slice,Champions_Bento,86229,2.06%,
Dungeons-Slice,Flora_Frenzy,86185,2.01%,
Dungeons-Slice,Blooming_Feast,86140,1.96%,
Dungeons-Slice,Silvermoon_Parade,86081,1.89%,
Dungeons-Slice,Royal_Roast,86024,1.82%,
Dungeons-Slice,Fel_Kissed_Filet,85734,1.48%,
Dungeons-Slice,Warped_Wise_Wings,85605,1.32%,
Dungeons-Slice,Arcano_Cutlets,85580,1.29%,
Dungeons-Slice,Void_Kissed_Fish_Rolls,85365,1.04%,
Dungeons-Slice,Void_Touched_Augment_Rune,85359,1.03%,
Dungeons-Slice,Base,84486,0.00%,
