profile,actor,DPS,increase,
3T,Chest_Mark_of_the_Worldsoul_2,386047,1.47%,
3T,Weapon_Berserkers_Rage_2,385322,1.28%,
3T,Legs_Arcanoweave_Spellthread_2,385281,1.27%,
3T,Weapon_Janalais_Precision_2,385117,1.23%,
3T,Legs_Sunfire_Silk_Spellthread_2,385052,1.21%,
3T,Chest_Mark_of_the_Magister_2,384951,1.18%,
3T,Weapon_Acuity_of_the_Rendorei_2,384856,1.16%,
3T,Weapon_Arcane_Mastery_2,384795,1.14%,
3T,Ring_Eyes_of_the_Eagle_2,384718,1.12%,
3T,Chest_Mark_of_the_Worldsoul_1,384451,1.05%,
3T,Weapon_Berserkers_Rage_1,384448,1.05%,
3T,Legs_Arcanoweave_Spellthread_1,384142,0.97%,
3T,Weapon_Janalais_Precision_1,384092,0.96%,
3T,Legs_Sunfire_Silk_Spellthread_1,384084,0.96%,
3T,Chest_Mark_of_the_Magister_1,384053,0.95%,
3T,Weapon_Acuity_of_the_Rendorei_1,383994,0.93%,
3T,Weapon_Arcane_Mastery_1,383925,0.91%,
3T,Legs_Bright_Linen_Spellthread_2,383253,0.74%,
3T,Weapon_Worldsoul_Tenacity_2,383111,0.70%,
3T,Temp_Weapon_Thalassian_Phoenix_Oil_2,382675,0.58%,
3T,Ring_Eyes_of_the_Eagle_1,382554,0.55%,
3T,Weapon_Worldsoul_Tenacity_1,382479,0.53%,
3T,Ring_Silvermoons_Alacrity_2,382391,0.51%,
3T,Ring_Silvermoons_Alacrity_1,382366,0.50%,
3T,Ring_Zuljins_Mastery_2,382304,0.49%,
3T,Ring_Natures_Fury_2,382296,0.49%,
3T,Ring_Natures_Fury_1,382250,0.47%,
3T,Legs_Bright_Linen_Spellthread_1,382234,0.47%,
3T,Ring_Natures_Wrath_2,382172,0.45%,
3T,Ring_Zuljins_Mastery_1,382166,0.45%,
3T,Temp_Weapon_Thalassian_Phoenix_Oil_1,382119,0.44%,
3T,Ring_Thalassian_Haste_2,382084,0.43%,
3T,Ring_Thalassian_Haste_1,382023,0.41%,
3T,Ring_Natures_Wrath_1,381904,0.38%,
3T,Ring_Amani_Mastery_2,381897,0.38%,
3T,Ring_Amani_Mastery_1,381886,0.38%,
3T,Weapon_Strength_of_Halazzi_2,381402,0.25%,
3T,Weapon_Flames_of_the_Sindorei_2,381366,0.24%,
3T,Weapon_Flames_of_the_Sindorei_1,381233,0.21%,
3T,Weapon_Strength_of_Halazzi_1,381197,0.20%,
3T,Ring_Silvermoons_Tenacity_2,381197,0.20%,
3T,Ring_Thalassian_Versatility_2,381137,0.18%,
3T,Ring_Thalassian_Versatility_1,381100,0.17%,
3T,Ring_Silvermoons_Tenacity_1,381093,0.17%,
3T,Temp_Weapon_Smugglers_Enchanted_Edge_1,380747,0.08%,
3T,Temp_Weapon_Smugglers_Enchanted_Edge_2,380733,0.07%,
3T,Weapon_Rite_of_the_Hashey_2,380560,0.03%,
3T,Base,380449,0.00%,
3T,Weapon_Rite_of_the_Hashey_1,380438,0.00%,
