profile,actor,DPS,increase,
Composite,Indecipherable_Eversong_Diamond_2,73405,1.28%,
Composite,Indecipherable_Eversong_Diamond_1,73201,0.99%,
Composite,Powerful_Eversong_Diamond_1,73129,0.90%,
Composite,Powerful_Eversong_Diamond_2,72991,0.71%,
Composite,Flawless_Deadly_Amethyst_2,72772,0.40%,
Composite,Flawless_Masterful_Garnet_2,72762,0.39%,
Composite,Flawless_Versatile_Amethyst_2,72761,0.39%,
Composite,Flawless_Quick_Amethyst_2,72745,0.37%,
Composite,Flawless_Versatile_Garnet_2,72741,0.36%,
Composite,Flawless_Quick_Garnet_2,72738,0.36%,
Composite,Flawless_Masterful_Amethyst_2,72719,0.33%,
Composite,Flawless_Masterful_Garnet_1,72715,0.33%,
Composite,Flawless_Deadly_Lapis_2,72712,0.32%,
Composite,Flawless_Versatile_Amethyst_1,72712,0.32%,
Composite,Flawless_Masterful_Lapis_2,72710,0.32%,
Composite,Flawless_Masterful_Peridot_2,72709,0.32%,
Composite,Flawless_Deadly_Peridot_2,72705,0.31%,
Composite,Flawless_Versatile_Peridot_2,72702,0.31%,
Composite,Flawless_Quick_Garnet_1,72699,0.30%,
Composite,Flawless_Versatile_Garnet_1,72698,0.30%,
Composite,Flawless_Quick_Amethyst_1,72697,0.30%,
Composite,Flawless_Deadly_Amethyst_1,72696,0.30%,
Composite,Flawless_Masterful_Amethyst_1,72689,0.29%,
Composite,Flawless_Quick_Lapis_2,72689,0.29%,
Composite,Flawless_Deadly_Garnet_2,72689,0.29%,
Composite,Flawless_Deadly_Garnet_1,72681,0.28%,
Composite,Flawless_Deadly_Lapis_1,72681,0.28%,
Composite,Flawless_Masterful_Peridot_1,72680,0.28%,
Composite,Flawless_Versatile_Lapis_2,72668,0.26%,
Composite,Flawless_Masterful_Lapis_1,72668,0.26%,
Composite,Flawless_Quick_Peridot_2,72656,0.24%,
Composite,Flawless_Deadly_Peridot_1,72649,0.23%,
Composite,Flawless_Quick_Lapis_1,72649,0.23%,
Composite,Flawless_Versatile_Peridot_1,72634,0.21%,
Composite,Flawless_Quick_Peridot_1,72627,0.20%,
Composite,Flawless_Versatile_Lapis_1,72625,0.20%,
Composite,Base,72480,0.00%,
