profile,actor,DPS,increase,
8T,RoUF_RoL_RoCP_RoRE,624420,3.35%,
8T,RoUF_RoL_RoCP_RoO,623785,3.25%,
8T,RoUF_RoL_RoCP_RoE,623456,3.19%,
8T,RoVTO_RoL_RoCP_RoO,621520,2.87%,
8T,RoVTO_RoL_RoCP_RoE,620722,2.74%,
8T,RoUF_RoL_RoVW_RoO,620631,2.72%,
8T,RoUF_RoL_RoMC_RoRE,620512,2.71%,
8T,RoVTO_RoL_RoCP_RoRE,620477,2.70%,
8T,RoUF_RoL_RoMC_RoO,620427,2.69%,
8T,RoUF_RoL_RoMC_RoE,620254,2.66%,
8T,RoUF_RoL_RoVW_RoE,619984,2.62%,
8T,RoVTO_RoL_RoBH_RoO,619524,2.54%,
8T,RoUF_RoL_RoVW_RoRE,619480,2.53%,
8T,RoVTO_RoL_RoBH_RoE,618794,2.42%,
8T,RoVTO_RoL_RoBH_RoRE,617996,2.29%,
8T,RoVTO_RoL_RoMC_RoO,617429,2.19%,
8T,RoVTO_RoL_RoMC_RoRE,617224,2.16%,
8T,RoVTO_RoL_RoMC_RoE,616967,2.12%,
8T,RoUF_RoL_RoBH_RoO,616906,2.11%,
8T,RoVTO_RoL_RoVW_RoE,616831,2.10%,
8T,RoVTO_RoL_RoVW_RoO,616589,2.06%,
8T,RoVTO_RoL_RoVW_RoRE,616251,2.00%,
8T,RoUF_RoL_RoBH_RoRE,616156,1.98%,
8T,RoUF_RoL_RoBH_RoE,616117,1.98%,
8T,Base,604169,0.00%,
