profile,actor,DPS,increase,
8T,RoUF_RoL_RoMC_RoO,1291321,2.29%,
8T,RoUF_RoL_RoMC_RoE,1290243,2.20%,
8T,RoUF_RoL_RoMC_RoRE,1290084,2.19%,
8T,RoUF_RoL_RoVW_RoE,1289764,2.17%,
8T,RoUF_RoL_RoCP_RoRE,1289276,2.13%,
8T,RoUF_RoL_RoBH_RoRE,1288878,2.10%,
8T,RoUF_RoL_RoCP_RoE,1288807,2.09%,
8T,RoUF_RoL_RoBH_RoO,1288676,2.08%,
8T,RoUF_RoL_RoCP_RoO,1288669,2.08%,
8T,RoUF_RoL_RoVW_RoRE,1288655,2.08%,
8T,RoUF_RoL_RoVW_RoO,1288496,2.06%,
8T,RoUF_RoL_RoBH_RoE,1288216,2.04%,
8T,RoVTO_RoL_RoBH_RoE,1281324,1.50%,
8T,RoVTO_RoL_RoCP_RoE,1280914,1.46%,
8T,RoVTO_RoL_RoMC_RoE,1280855,1.46%,
8T,RoVTO_RoL_RoMC_RoRE,1280782,1.45%,
8T,RoVTO_RoL_RoBH_RoRE,1280594,1.44%,
8T,RoVTO_RoL_RoMC_RoO,1279873,1.38%,
8T,RoVTO_RoL_RoBH_RoO,1279706,1.37%,
8T,RoVTO_RoL_RoCP_RoRE,1279601,1.36%,
8T,RoVTO_RoL_RoCP_RoO,1279414,1.35%,
8T,RoVTO_RoL_RoVW_RoRE,1278474,1.27%,
8T,RoVTO_RoL_RoVW_RoO,1277972,1.23%,
8T,RoVTO_RoL_RoVW_RoE,1277283,1.18%,
8T,Base,1262428,0.00%,
