profile,actor,DPS,increase,
Composite,RoUF_RoL_RoCP_RoO,268532,2.59%,
Composite,RoUF_RoL_RoBH_RoO,268449,2.55%,
Composite,RoUF_RoL_RoCP_RoRE,268429,2.55%,
Composite,RoUF_RoL_RoCP_RoE,268340,2.51%,
Composite,RoUF_RoL_RoBH_RoRE,268322,2.51%,
Composite,RoUF_RoL_RoMC_RoO,268277,2.49%,
Composite,RoUF_RoL_RoBH_RoE,268231,2.47%,
Composite,RoUF_RoL_RoMC_RoRE,268153,2.44%,
Composite,RoUF_RoL_RoMC_RoE,268093,2.42%,
Composite,RoUF_RoL_RoVW_RoO,266557,1.83%,
Composite,RoUF_RoL_RoVW_RoRE,266454,1.79%,
Composite,RoUF_RoL_RoVW_RoE,266331,1.75%,
Composite,RoVTO_RoL_RoCP_RoO,266156,1.68%,
Composite,RoVTO_RoL_RoCP_RoRE,266150,1.68%,
Composite,RoVTO_RoL_RoBH_RoO,266084,1.65%,
Composite,RoVTO_RoL_RoMC_RoO,266082,1.65%,
Composite,RoVTO_RoL_RoBH_RoRE,266081,1.65%,
Composite,RoVTO_RoL_RoMC_RoRE,265981,1.61%,
Composite,RoVTO_RoL_RoCP_RoE,265971,1.61%,
Composite,RoVTO_RoL_RoBH_RoE,265904,1.58%,
Composite,RoVTO_RoL_RoMC_RoE,265847,1.56%,
Composite,RoVTO_RoL_RoVW_RoRE,264324,0.98%,
Composite,RoVTO_RoL_RoVW_RoO,264313,0.97%,
Composite,RoVTO_RoL_RoVW_RoE,264184,0.93%,
Composite,Base,261762,0.00%,
