profile,actor,DPS,increase,
Dungeons-Slice,RoUF_RoL_RoCP_RoO,243365,2.63%,
Dungeons-Slice,RoUF_RoL_RoBH_RoO,243151,2.54%,
Dungeons-Slice,RoUF_RoL_RoMC_RoRE,243124,2.53%,
Dungeons-Slice,RoUF_RoL_RoBH_RoE,243057,2.50%,
Dungeons-Slice,RoUF_RoL_RoCP_RoRE,243056,2.50%,
Dungeons-Slice,RoUF_RoL_RoBH_RoRE,242976,2.47%,
Dungeons-Slice,RoUF_RoL_RoMC_RoO,242889,2.43%,
Dungeons-Slice,RoUF_RoL_RoCP_RoE,242705,2.35%,
Dungeons-Slice,RoUF_RoL_RoMC_RoE,242564,2.30%,
Dungeons-Slice,RoUF_RoL_RoVW_RoRE,241483,1.84%,
Dungeons-Slice,RoVTO_RoL_RoCP_RoO,241395,1.80%,
Dungeons-Slice,RoVTO_RoL_RoBH_RoE,241376,1.79%,
Dungeons-Slice,RoUF_RoL_RoVW_RoO,241365,1.79%,
Dungeons-Slice,RoVTO_RoL_RoCP_RoRE,241266,1.75%,
Dungeons-Slice,RoUF_RoL_RoVW_RoE,241228,1.73%,
Dungeons-Slice,RoVTO_RoL_RoCP_RoE,241176,1.71%,
Dungeons-Slice,RoVTO_RoL_RoMC_RoO,241099,1.68%,
Dungeons-Slice,RoVTO_RoL_RoBH_RoO,241082,1.67%,
Dungeons-Slice,RoVTO_RoL_RoBH_RoRE,240963,1.62%,
Dungeons-Slice,RoVTO_RoL_RoMC_RoRE,240939,1.61%,
Dungeons-Slice,RoVTO_RoL_RoMC_RoE,240936,1.61%,
Dungeons-Slice,RoVTO_RoL_RoVW_RoO,239678,1.08%,
Dungeons-Slice,RoVTO_RoL_RoVW_RoRE,239585,1.04%,
Dungeons-Slice,RoVTO_RoL_RoVW_RoE,239354,0.94%,
Dungeons-Slice,Base,237122,0.00%,
