profile,actor,DPS,increase,
Single,RoUF_RoL_RoMC_RoO,226890,2.87%,
Single,RoUF_RoL_RoMC_RoE,226835,2.84%,
Single,RoUF_RoL_RoMC_RoRE,226794,2.82%,
Single,RoUF_RoL_RoBH_RoO,226716,2.79%,
Single,RoUF_RoL_RoBH_RoE,226513,2.69%,
Single,RoUF_RoL_RoCP_RoO,226507,2.69%,
Single,RoUF_RoL_RoBH_RoRE,226491,2.68%,
Single,RoUF_RoL_RoVW_RoO,226432,2.66%,
Single,RoUF_RoL_RoCP_RoRE,226385,2.64%,
Single,RoUF_RoL_RoVW_RoRE,226322,2.61%,
Single,RoUF_RoL_RoCP_RoE,226292,2.59%,
Single,RoUF_RoL_RoVW_RoE,226190,2.55%,
Single,RoVTO_RoL_RoMC_RoO,224884,1.96%,
Single,RoVTO_RoL_RoBH_RoO,224783,1.91%,
Single,RoVTO_RoL_RoMC_RoRE,224778,1.91%,
Single,RoVTO_RoL_RoMC_RoE,224662,1.86%,
Single,RoVTO_RoL_RoBH_RoRE,224613,1.83%,
Single,RoVTO_RoL_RoCP_RoO,224562,1.81%,
Single,RoVTO_RoL_RoBH_RoE,224541,1.80%,
Single,RoVTO_RoL_RoCP_RoRE,224468,1.77%,
Single,RoVTO_RoL_RoCP_RoE,224394,1.73%,
Single,RoVTO_RoL_RoVW_RoO,224281,1.68%,
Single,RoVTO_RoL_RoVW_RoRE,224200,1.65%,
Single,RoVTO_RoL_RoVW_RoE,224162,1.63%,
Single,Base,220570,0.00%,
