profile,actor,DPS,increase,
2T,Human,375503,1.45%,
2T,Panda_Feast,375464,1.44%,
2T,Void_Elf,375353,1.41%,
2T,Mechagnome,375093,1.34%,
2T,Blood_Elf,374796,1.26%,
2T,Orc,374727,1.24%,
2T,Goblin,374281,1.12%,
2T,Gnome,374235,1.10%,
2T,Dwarf,374234,1.10%,
2T,Troll,374211,1.10%,
2T,Tauren,374199,1.09%,
2T,Night_Elf_Haste,374037,1.05%,
2T,Nightborne,373978,1.03%,
2T,Dark_Iron_Dwarf,373815,0.99%,
2T,Kul_Tiran,373755,0.97%,
2T,Highmountain_Tauren,373750,0.97%,
2T,Zandalari_Troll_Paku,373711,0.96%,
2T,Draenei,373648,0.95%,
2T,Night_Elf_Crit,373584,0.93%,
2T,Dracthyr,373374,0.87%,
2T,Worgen,373311,0.85%,
2T,Maghar_Orc,373050,0.78%,
2T,Haranir,372380,0.60%,
2T,Earthen_Emerald,372282,0.58%,
2T,Earthen_Ruby,372109,0.53%,
2T,Earthen_Onyx,371214,0.29%,
2T,Zandalari_Troll_Kimbul,370477,0.09%,
2T,Lightforged_Draenei,370311,0.04%,
2T,Vulpera,370264,0.03%,
2T,Base,370149,0.00%,
2T,Zandalari_Troll_Bwonsamdi,370064,-0.02%,
2T,Undead,370061,-0.02%,
2T,Earthen_Sapphire,368923,-0.33%,
