profile,actor,DPS,increase,
3T,1H_Janthrazet_the_Soul_Fang_344,365208,3.05%,
3T,Neck_Aqirbane_Reliquary_344,363441,2.55%,
3T,Neck_Aqirbane_Reliquary_334,361836,2.10%,
3T,Sunfire_Bracers_Treads_331,361417,1.98%,
3T,Embellishment_Hunters_Ritual_Stone,361299,1.95%,
3T,Arcanoweave_Bracers_Treads_331,361155,1.91%,
3T,Arcanoweave_Bracers_Cloak_331,360995,1.86%,
3T,Sunfire_Treads_Cloak_331,360628,1.76%,
3T,Sunfire_Bracers_Cloak_331,360593,1.75%,
3T,Arcanoweave_Treads_Cloak_331,360468,1.71%,
3T,Finger2_Loa_Worshipers_Band_331,360180,1.63%,
3T,1H_Janthrazet_the_Soul_Fang_334,359139,1.34%,
3T,Embellishment_Arcanoweave_Lining_1,357594,0.90%,
3T,Embellishment_Darkmoon_Sigil_Hunt,357472,0.87%,
3T,Waist_Arcanoweave_Cord_331,357300,0.82%,
3T,Embellishment_Adorned_Fang_1,357295,0.82%,
3T,Neck_Thalassian_Phoenix_Torque_331,356567,0.61%,
3T,Embellishment_Darkmoon_Sigil_Void,356390,0.56%,
3T,Embellishment_Polished_Ammolite_1,356224,0.51%,
3T,1H_Polished_Lightwood_Channeler_334,355862,0.41%,
3T,Waist_Sunfire_Sash_331,355816,0.40%,
3T,Embellishment_Prismatic_Focusing_Iris_1,355782,0.39%,
3T,Embellishment_Devouring_Banding_1,355749,0.38%,
3T,Embellishment_Sunfire_Silk_Lining_1,355716,0.37%,
3T,Neck_Masterwork_Sindorei_Amulet_331,355704,0.37%,
3T,Embellishment_Primal_Spore_Binding_1,355632,0.35%,
3T,Finger1_Loa_Worshipers_Band_331,355462,0.30%,
3T,Embellishment_Darkmoon_Sigil_Blood,355314,0.26%,
3T,Embellishment_Snakeskin_Lining_1,355088,0.19%,
3T,Finger2_Masterwork_Sindorei_Band_331,354625,0.06%,
3T,Embellishment_Darkmoon_Sigil_Rot,354468,0.02%,
3T,Base,354403,0.00%,
3T,Adherents_Silken_Shroud_331,354351,-0.01%,
3T,Finger2_Signet_of_Azerothian_Blessings_331,354154,-0.07%,
3T,Neck_Voidstone_Shielding_Array_331,353915,-0.14%,
3T,OH_Alnhara_Lantern_331,353888,-0.15%,
3T,Martyrs_Bindings_331,353766,-0.18%,
3T,Martyrs_Slippers_331,353572,-0.23%,
3T,Head_Venomkeepers_Horrific_Cowl_344,353547,-0.24%,
3T,1H_Magisters_Grand_Focus_331,352636,-0.50%,
3T,Martyrs_Waistwrap_331,352336,-0.58%,
3T,Finger1_Masterwork_Sindorei_Band_331,352252,-0.61%,
3T,2H_Alnhara_Cane_331,351885,-0.71%,
3T,Head_Venomkeepers_Horrific_Cowl_334,351103,-0.93%,
3T,Finger1_Signet_of_Azerothian_Blessings_331,349999,-1.24%,
3T,1H_Polished_Lightwood_Channeler_322,349242,-1.46%,
3T,Martyrs_Gloves_331,339021,-4.34%,
3T,Martyrs_Vestments_331,332346,-6.22%,
3T,Martyrs_Leggings_331,332240,-6.25%,
3T,Martyrs_Mantle_331,330970,-6.61%,
3T,Martyrs_Crown_331,330877,-6.64%,
