profile,actor,DPS,increase,
8T,Arcanoweave_Treads_Cloak_285,515116,2.34%,
8T,Sunfire_Bracers_Treads_285,514739,2.27%,
8T,Arcanoweave_Bracers_Cloak_285,514707,2.26%,
8T,Arcanoweave_Bracers_Treads_285,514700,2.26%,
8T,Sunfire_Treads_Cloak_285,514275,2.17%,
8T,Sunfire_Bracers_Cloak_285,512714,1.86%,
8T,Fingers_Omission_Occlusion_Set_289,511513,1.63%,
8T,Finger1_Loa_Worshipers_Band_285,511111,1.55%,
8T,Finger2_Loa_Worshipers_Band_285,510957,1.51%,
8T,Waist_Arcanoweave_Cord_285,508604,1.05%,
8T,Finger2_Signet_of_Azerothian_Blessings_285,508248,0.98%,
8T,Finger1_Signet_of_Azerothian_Blessings_285,507445,0.82%,
8T,Embellishment_Darkmoon_Sigil_Hunt,506320,0.59%,
8T,Embellishment_Darkmoon_Sigil_Void,505867,0.50%,
8T,Embellishment_Arcanoweave_Lining_1,505666,0.46%,
8T,Fingers_Omission_Occlusion_Set_276,505499,0.43%,
8T,Finger2_Eye_of_Midnight_289,505154,0.36%,
8T,Embellishment_Sunfire_Silk_Lining_1,504893,0.31%,
8T,Embellishment_Darkmoon_Sigil_Blood,504363,0.20%,
8T,Waist_Sunfire_Sash_285,504333,0.20%,
8T,Embellishment_Devouring_Banding_1,504176,0.17%,
8T,Embellishment_Primal_Spore_Binding_1,503845,0.10%,
8T,Finger2_Masterwork_Sindorei_Band_285,503811,0.10%,
8T,Embellishment_Prismatic_Focusing_Iris_1,503490,0.03%,
8T,Base,503332,0.00%,
8T,Adherents_Silken_Shroud_285,502972,-0.07%,
8T,Embellishment_Darkmoon_Sigil_Rot,502573,-0.15%,
8T,Finger1_Masterwork_Sindorei_Band_285,502154,-0.23%,
8T,Martyrs_Bindings_285,502080,-0.25%,
8T,OH_Alnhara_Lantern_285,501950,-0.27%,
8T,Martyrs_Slippers_285,501782,-0.31%,
8T,Martyrs_Waistwrap_285,501412,-0.38%,
8T,Finger1_Eye_of_Midnight_289,501365,-0.39%,
8T,Martyrs_Gloves_285,500644,-0.53%,
8T,1H_Magisters_Grand_Focus_285,499860,-0.69%,
8T,2H_Alnhara_Cane_285,499634,-0.73%,
8T,Martyrs_Leggings_285,499490,-0.76%,
8T,Neck_Masterwork_Sindorei_Amulet_285,499178,-0.83%,
8T,Neck_Thalassian_Phoenix_Torque_285,498867,-0.89%,
8T,Martyrs_Vestments_285,498598,-0.94%,
8T,Martyrs_Crown_285,498360,-0.99%,
8T,Neck_Voidstone_Shielding_Array_285,498031,-1.05%,
8T,Neck_Eternal_Voidsong_Chain_289,496924,-1.27%,
8T,Martyrs_Mantle_285,495587,-1.54%,
