profile,actor,DPS,increase,
Single,Arcanoweave_Treads_Cloak_285,97426,1.93%,
Single,Arcanoweave_Bracers_Cloak_285,97395,1.90%,
Single,Sunfire_Treads_Cloak_285,97361,1.87%,
Single,Sunfire_Bracers_Treads_285,97347,1.85%,
Single,Sunfire_Bracers_Cloak_285,97262,1.76%,
Single,Arcanoweave_Bracers_Treads_285,97232,1.73%,
Single,Finger2_Loa_Worshipers_Band_285,96805,1.28%,
Single,Fingers_Omission_Occlusion_Set_289,96715,1.19%,
Single,Finger1_Loa_Worshipers_Band_285,96535,1.00%,
Single,Finger2_Signet_of_Azerothian_Blessings_285,96502,0.97%,
Single,Waist_Arcanoweave_Cord_285,96458,0.92%,
Single,Finger1_Signet_of_Azerothian_Blessings_285,96338,0.80%,
Single,Embellishment_Darkmoon_Sigil_Hunt,96298,0.75%,
Single,Embellishment_Arcanoweave_Lining_1,96229,0.68%,
Single,Embellishment_Prismatic_Focusing_Iris_1,96156,0.61%,
Single,Waist_Sunfire_Sash_285,96089,0.54%,
Single,Embellishment_Sunfire_Silk_Lining_1,96044,0.49%,
Single,Embellishment_Darkmoon_Sigil_Void,96015,0.46%,
Single,Finger2_Eye_of_Midnight_289,96013,0.46%,
Single,Embellishment_Devouring_Banding_1,95963,0.40%,
Single,Embellishment_Primal_Spore_Binding_1,95945,0.38%,
Single,Finger2_Masterwork_Sindorei_Band_285,95792,0.22%,
Single,Embellishment_Darkmoon_Sigil_Rot,95722,0.15%,
Single,Embellishment_Darkmoon_Sigil_Blood,95712,0.14%,
Single,Base,95577,0.00%,
Single,Fingers_Omission_Occlusion_Set_276,95482,-0.10%,
Single,Martyrs_Gloves_285,95418,-0.17%,
Single,Finger1_Masterwork_Sindorei_Band_285,95376,-0.21%,
Single,Martyrs_Slippers_285,95359,-0.23%,
Single,Adherents_Silken_Shroud_285,95359,-0.23%,
Single,Martyrs_Bindings_285,95357,-0.23%,
Single,Martyrs_Waistwrap_285,95310,-0.28%,
Single,Finger1_Eye_of_Midnight_289,95271,-0.32%,
Single,OH_Alnhara_Lantern_285,95255,-0.34%,
Single,Martyrs_Leggings_285,95234,-0.36%,
Single,Martyrs_Crown_285,95128,-0.47%,
Single,Neck_Thalassian_Phoenix_Torque_285,95124,-0.47%,
Single,Neck_Eternal_Voidsong_Chain_289,95045,-0.56%,
Single,1H_Magisters_Grand_Focus_285,95010,-0.59%,
Single,Martyrs_Vestments_285,94923,-0.68%,
Single,Neck_Masterwork_Sindorei_Amulet_285,94863,-0.75%,
Single,2H_Alnhara_Cane_285,94736,-0.88%,
Single,Martyrs_Mantle_285,94692,-0.93%,
Single,Neck_Voidstone_Shielding_Array_285,94434,-1.20%,
