profile,actor,DPS,increase,
Dungeons-Route,M6_V0_H9_C5,152142,51.46%,
Dungeons-Route,M5_V0_H9_C6,152121,51.44%,
Dungeons-Route,M7_V0_H9_C4,152003,51.32%,
Dungeons-Route,M4_V0_H9_C7,151987,51.30%,
Dungeons-Route,M6_V0_H8_C6,151872,51.19%,
Dungeons-Route,M5_V0_H10_C5,151859,51.17%,
Dungeons-Route,M6_V0_H10_C4,151821,51.14%,
Dungeons-Route,M5_V0_H8_C7,151818,51.13%,
Dungeons-Route,M4_V0_H10_C6,151808,51.12%,
Dungeons-Route,M7_V0_H8_C5,151801,51.12%,
Dungeons-Route,M8_V0_H9_C3,151781,51.10%,
Dungeons-Route,M3_V0_H9_C8,151753,51.07%,
Dungeons-Route,M7_V0_H7_C6,151739,51.06%,
Dungeons-Route,M6_V0_H7_C7,151717,51.03%,
Dungeons-Route,M7_V0_H6_C7,151711,51.03%,
Dungeons-Route,M6_V0_H6_C8,151674,50.99%,
Dungeons-Route,M8_V0_H6_C6,151674,50.99%,
Dungeons-Route,M7_V0_H10_C3,151665,50.98%,
Dungeons-Route,M4_V0_H8_C8,151646,50.96%,
Dungeons-Route,M8_V0_H8_C4,151636,50.95%,
Dungeons-Route,M5_V1_H9_C5,151635,50.95%,
Dungeons-Route,M8_V0_H7_C5,151626,50.94%,
Dungeons-Route,M5_V0_H11_C4,151619,50.94%,
Dungeons-Route,M3_V0_H10_C7,151619,50.94%,
Dungeons-Route,M5_V0_H7_C8,151618,50.93%,
Dungeons-Route,M4_V0_H11_C5,151611,50.93%,
Dungeons-Route,M8_V0_H5_C7,151610,50.93%,
Dungeons-Route,M7_V0_H5_C8,151594,50.91%,
Dungeons-Route,M6_V1_H9_C4,151569,50.89%,
Dungeons-Route,M4_V1_H9_C6,151548,50.86%,
Dungeons-Route,M5_V0_H6_C9,151521,50.84%,
Dungeons-Route,M6_V0_H11_C3,151520,50.84%,
Dungeons-Route,M4_V0_H12_C4,151519,50.84%,
Dungeons-Route,M6_V0_H5_C9,151514,50.83%,
Dungeons-Route,M9_V0_H6_C5,151512,50.83%,
Dungeons-Route,M5_V0_H12_C3,151492,50.81%,
Dungeons-Route,M9_V0_H5_C6,151488,50.81%,
Dungeons-Route,M9_V0_H9_C2,151476,50.79%,
Dungeons-Route,M3_V0_H11_C6,151471,50.79%,
Dungeons-Route,M3_V0_H12_C5,151442,50.76%,
Dungeons-Route,M4_V0_H7_C9,151436,50.75%,
Dungeons-Route,M9_V0_H7_C4,151426,50.74%,
Dungeons-Route,M8_V0_H10_C2,151397,50.72%,
Dungeons-Route,M3_V0_H8_C9,151392,50.71%,
Dungeons-Route,M9_V0_H8_C3,151391,50.71%,
Dungeons-Route,M7_V1_H9_C3,151389,50.71%,
Dungeons-Route,M6_V1_H8_C5,151372,50.69%,
Dungeons-Route,M5_V1_H8_C6,151359,50.68%,
Dungeons-Route,M3_V1_H9_C7,151350,50.67%,
Dungeons-Route,M6_V0_H12_C2,151338,50.66%,
Dungeons-Route,M7_V0_H11_C2,151335,50.65%,
Dungeons-Route,M5_V0_H5_C10,151329,50.65%,
Dungeons-Route,M4_V1_H10_C5,151315,50.63%,
Dungeons-Route,M5_V1_H10_C4,151303,50.62%,
Dungeons-Route,M7_V1_H6_C6,151290,50.61%,
Dungeons-Route,M7_V1_H8_C4,151288,50.61%,
Dungeons-Route,M4_V0_H6_C10,151286,50.60%,
Dungeons-Route,M6_V1_H7_C6,151285,50.60%,
Dungeons-Route,M6_V1_H6_C7,151275,50.59%,
Dungeons-Route,M10_V0_H5_C5,151243,50.56%,
Dungeons-Route,M7_V1_H7_C5,151241,50.56%,
Dungeons-Route,M5_V1_H7_C7,151231,50.55%,
Dungeons-Route,M6_V1_H10_C3,151220,50.54%,
Dungeons-Route,M4_V1_H8_C7,151217,50.54%,
Dungeons-Route,M10_V0_H6_C4,151213,50.53%,
Dungeons-Route,M7_V1_H5_C7,151208,50.53%,
Dungeons-Route,M8_V0_H4_C8,151195,50.51%,
Dungeons-Route,M4_V0_H13_C3,151175,50.49%,
Dungeons-Route,M7_V0_H4_C9,151172,50.49%,
Dungeons-Route,M5_V1_H6_C8,151167,50.49%,
Dungeons-Route,M8_V1_H6_C5,151163,50.48%,
Dungeons-Route,M9_V0_H4_C7,151162,50.48%,
Dungeons-Route,M3_V1_H10_C6,151162,50.48%,
Dungeons-Route,M3_V0_H13_C4,151156,50.48%,
Dungeons-Route,M6_V1_H5_C8,151147,50.47%,
Dungeons-Route,M8_V1_H5_C6,151144,50.46%,
Dungeons-Route,M8_V1_H9_C2,151115,50.43%,
Dungeons-Route,M3_V0_H7_C10,151103,50.42%,
Dungeons-Route,M5_V0_H13_C2,151081,50.40%,
Dungeons-Route,M8_V1_H7_C4,151068,50.39%,
Dungeons-Route,M4_V1_H7_C8,151063,50.38%,
Dungeons-Route,M10_V0_H7_C3,151061,50.38%,
Dungeons-Route,M6_V0_H4_C10,151058,50.38%,
Dungeons-Route,M7_V0_H12_C1,151046,50.37%,
Dungeons-Route,M8_V1_H8_C3,151046,50.37%,
Dungeons-Route,M4_V1_H11_C4,151036,50.36%,
Dungeons-Route,M5_V2_H9_C4,151024,50.34%,
Dungeons-Route,M3_V1_H8_C8,151021,50.34%,
Dungeons-Route,M10_V0_H9_C1,151014,50.33%,
Dungeons-Route,M7_V1_H10_C2,151014,50.33%,
Dungeons-Route,M8_V0_H11_C1,151009,50.33%,
Dungeons-Route,M4_V2_H9_C5,151008,50.33%,
Dungeons-Route,M9_V0_H10_C1,151005,50.32%,
Dungeons-Route,M4_V1_H6_C9,150998,50.32%,
Dungeons-Route,M4_V0_H5_C11,150997,50.32%,
Dungeons-Route,M5_V1_H5_C9,150996,50.32%,
Dungeons-Route,M10_V0_H8_C2,150986,50.31%,
Dungeons-Route,M9_V1_H5_C5,150981,50.30%,
Dungeons-Route,M5_V1_H11_C3,150970,50.29%,
Dungeons-Route,M9_V1_H6_C4,150968,50.29%,
Dungeons-Route,M3_V1_H11_C5,150961,50.28%,
Dungeons-Route,M8_V0_H3_C9,150959,50.28%,
Dungeons-Route,M10_V0_H4_C6,150956,50.28%,
Dungeons-Route,M9_V0_H3_C8,150942,50.26%,
Dungeons-Route,M4_V1_H12_C3,150937,50.26%,
Dungeons-Route,M3_V0_H6_C11,150914,50.23%,
