profile,actor,DPS,increase,
Dungeons-Slice,M5_V0_H3_C4,231057,62.90%,
Dungeons-Slice,M4_V0_H5_C3,230877,62.78%,
Dungeons-Slice,M4_V1_H3_C4,230601,62.58%,
Dungeons-Slice,M5_V0_H4_C3,230588,62.57%,
Dungeons-Slice,M5_V0_H5_C2,230537,62.54%,
Dungeons-Slice,M4_V0_H4_C4,230510,62.52%,
Dungeons-Slice,M4_V1_H4_C3,230424,62.46%,
Dungeons-Slice,M4_V0_H3_C5,230403,62.44%,
Dungeons-Slice,M5_V1_H3_C3,230332,62.39%,
Dungeons-Slice,M3_V0_H5_C4,230225,62.32%,
Dungeons-Slice,M4_V1_H5_C2,230209,62.30%,
Dungeons-Slice,M6_V0_H3_C3,230045,62.19%,
Dungeons-Slice,M3_V1_H5_C3,229925,62.10%,
Dungeons-Slice,M5_V1_H4_C2,229908,62.09%,
Dungeons-Slice,M4_V0_H6_C2,229759,61.99%,
Dungeons-Slice,M3_V1_H4_C4,229656,61.91%,
Dungeons-Slice,M3_V1_H3_C5,229551,61.84%,
Dungeons-Slice,M3_V0_H4_C5,229476,61.79%,
Dungeons-Slice,M6_V1_H3_C2,229373,61.71%,
Dungeons-Slice,M6_V0_H4_C2,229332,61.69%,
Dungeons-Slice,M5_V1_H5_C1,229283,61.65%,
Dungeons-Slice,M6_V0_H5_C1,229079,61.51%,
Dungeons-Slice,M3_V0_H6_C3,229044,61.48%,
Dungeons-Slice,M5_V0_H6_C1,228911,61.39%,
Dungeons-Slice,M3_V0_H3_C6,228895,61.38%,
Dungeons-Slice,M3_V1_H6_C2,228645,61.20%,
Dungeons-Slice,M4_V1_H6_C1,228512,61.11%,
Dungeons-Slice,M7_V0_H3_C2,228342,60.99%,
Dungeons-Slice,M6_V1_H4_C1,228071,60.80%,
Dungeons-Slice,M7_V0_H4_C1,227170,60.16%,
Dungeons-Slice,M7_V1_H3_C1,227112,60.12%,
Dungeons-Slice,M3_V0_H7_C2,227094,60.11%,
Dungeons-Slice,M6_V1_H5_C0,226941,60.00%,
Dungeons-Slice,M5_V1_H6_C0,226899,59.97%,
Dungeons-Slice,M6_V0_H6_C0,226859,59.94%,
Dungeons-Slice,M4_V0_H7_C1,226817,59.91%,
Dungeons-Slice,M7_V0_H5_C0,226203,59.48%,
Dungeons-Slice,M3_V1_H7_C1,225841,59.22%,
Dungeons-Slice,M5_V0_H7_C0,225660,59.10%,
Dungeons-Slice,M4_V1_H7_C0,225543,59.01%,
Dungeons-Slice,M8_V0_H3_C1,225465,58.96%,
Dungeons-Slice,M7_V1_H4_C0,225441,58.94%,
Dungeons-Slice,M8_V1_H3_C0,223997,57.92%,
Dungeons-Slice,M3_V0_H8_C1,223969,57.90%,
Dungeons-Slice,M4_V0_H8_C0,223627,57.66%,
Dungeons-Slice,M8_V0_H4_C0,223569,57.62%,
Dungeons-Slice,M3_V1_H8_C0,222884,57.14%,
Dungeons-Slice,M9_V0_H3_C0,221571,56.21%,
Dungeons-Slice,M3_V0_H9_C0,220987,55.80%,
Dungeons-Slice,Base,141838,0.00%,
