profile,actor,DPS,increase,
Single,M9_V0_H9_C2,64936,55.18%,
Single,M10_V0_H6_C4,64930,55.17%,
Single,M10_V0_H9_C1,64903,55.10%,
Single,M8_V0_H9_C3,64888,55.07%,
Single,M11_V0_H6_C3,64870,55.02%,
Single,M10_V0_H7_C3,64869,55.02%,
Single,M9_V0_H6_C5,64862,55.00%,
Single,M9_V0_H7_C4,64816,54.89%,
Single,M10_V0_H8_C2,64784,54.82%,
Single,M9_V0_H8_C3,64775,54.80%,
Single,M11_V0_H7_C2,64770,54.78%,
Single,M10_V0_H5_C5,64769,54.78%,
Single,M10_V1_H6_C3,64768,54.78%,
Single,M8_V0_H7_C5,64753,54.74%,
Single,M11_V0_H5_C4,64752,54.74%,
Single,M8_V0_H6_C6,64751,54.74%,
Single,M11_V0_H9_C0,64743,54.72%,
Single,M8_V1_H9_C2,64731,54.69%,
Single,M9_V1_H6_C4,64720,54.66%,
Single,M9_V0_H5_C6,64710,54.64%,
Single,M12_V0_H6_C2,64710,54.64%,
Single,M9_V1_H9_C1,64707,54.63%,
Single,M8_V0_H8_C4,64684,54.58%,
Single,M10_V1_H7_C2,64679,54.57%,
Single,M9_V0_H10_C1,64675,54.56%,
Single,M11_V1_H6_C2,64664,54.53%,
Single,M9_V1_H7_C3,64662,54.52%,
Single,M11_V0_H8_C1,64651,54.50%,
Single,M8_V1_H6_C5,64647,54.49%,
Single,M10_V1_H9_C0,64644,54.48%,
Single,M10_V1_H5_C4,64622,54.43%,
Single,M8_V1_H7_C4,64618,54.42%,
Single,M7_V0_H9_C4,64615,54.41%,
Single,M10_V0_H10_C0,64604,54.39%,
Single,M10_V0_H4_C6,64603,54.38%,
Single,M11_V0_H4_C5,64598,54.37%,
Single,M12_V0_H5_C3,64596,54.37%,
Single,M7_V0_H8_C5,64596,54.37%,
Single,M7_V0_H6_C7,64590,54.35%,
Single,M7_V0_H7_C6,64588,54.35%,
Single,M11_V1_H5_C3,64585,54.34%,
Single,M9_V1_H8_C2,64574,54.32%,
Single,M9_V1_H5_C5,64574,54.32%,
Single,M11_V1_H7_C1,64571,54.31%,
Single,M12_V0_H7_C1,64563,54.29%,
Single,M9_V2_H6_C3,64556,54.27%,
