profile,actor,DPS,increase,
8T,VW_DH_VF_nzoth_yogg_3078143820454895_IN_AM_ME,1221877,28.31%,
8T,AR_SP_SW_VF_nzoth_yogg_2_IN_AM_ME,1215737,27.66%,
8T,VW_DH_VF_nzoth_yogg_3078143816032239_IN_AM_ME,1211219,27.19%,
8T,VW_DH_VF_nzoth_yogg_3078143966993391_IN_AM_ME,1204631,26.50%,
8T,VW_DH_VF_nzoth_yogg_3078143866330095_IN_AM_ME,1201168,26.13%,
8T,VW_DH_VF_nzoth_yogg_3078143836183535_IN_AM_ME,1198767,25.88%,
8T,VW_DH_VF_nzoth_yogg_3078143852960751_IN_AM_ME,1198716,25.87%,
8T,VW_DH_VF_nzoth_yogg_3078143832783855_IN_AM_ME_VT,1198610,25.86%,
8T,VW_DH_VF_nzoth_yogg_3078143832776687_IN_AM_ME,1194561,25.44%,
8T,VW_DH_VF_nzoth_yogg_3078143849552895_IN_AM_ME,1194202,25.40%,
8T,VW_DH_VF_nzoth_yogg_3078143819406335_IN_AM_ME,1193060,25.28%,
8T,VW_DH_VF_nzoth_yogg_3078143820454895_IN_AM_DR,1189107,24.87%,
8T,VW_DH_VF_yshaarj_nzoth_cthun_1_IN_AM_ME,1188103,24.76%,
8T,VW_VE_VF_nzoth_yogg_3078143820454895_IN_AM_ME,1187947,24.74%,
8T,VW_DH_VF_nzoth_yogg_3078143848538095_IN_AM_ME,1184549,24.39%,
8T,VW_VE_VF_nzoth_yogg_3078143816032239_IN_AM_ME,1177339,23.63%,
8T,AR_SP_SW_VF_nzoth_yogg_cthun_4199645714340335_IN_AM_ME,1177218,23.62%,
8T,VW_DH_VF_nzoth_yogg_3078143816032239_IN_AM_DR,1176556,23.55%,
8T,AR_SP_SW_VF_nzoth_yogg_cthun_4199645697563119_IN_AM_ME,1175500,23.44%,
8T,VW_DH_VF_nzoth_yogg_cthun_4199645714340335_IN_AM_ME,1174429,23.32%,
8T,VW_DH_VF_nzoth_yogg_cthun_4199645697563119_IN_AM_ME,1174085,23.29%,
8T,AR_SP_SW_VF_nzoth_yogg_cthun_4199645680786927_IN_AM_ME,1174004,23.28%,
8T,VW_DH_VF_nzoth_yogg_3078143866330095_IN_AM_DR,1172187,23.09%,
8T,VW_DH_VF_nzoth_yogg_3078143966993391_IN_AM_DR,1171388,23.01%,
8T,VW_DH_VF_nzoth_yogg_cthun_4199645680794095_IN_AM_ME_VT,1170294,22.89%,
8T,VW_VE_VF_nzoth_yogg_3078143966993391_IN_AM_ME,1170058,22.87%,
8T,VW_DH_VF_nzoth_yogg_3078143849561071_IN_AM_DR_VT,1169761,22.83%,
8T,VW_DH_VF_nzoth_yogg_3078143852960751_IN_AM_DR,1169155,22.77%,
8T,VW_DH_VF_nzoth_yogg_3078143849552895_IN_AM_DR,1167734,22.62%,
8T,VW_DH_VF_nzoth_yogg_cthun_4199645680786927_IN_AM_ME,1166899,22.53%,
8T,VW_VE_VF_nzoth_yogg_3078143866330095_IN_AM_ME,1166852,22.53%,
8T,VW_VE_VF_nzoth_yogg_3078143836183535_IN_AM_ME,1166124,22.45%,
8T,VW_VE_VF_nzoth_yogg_3078143832783855_IN_AM_ME_VT,1165971,22.44%,
8T,AR_SP_SW_VF_nzoth_yogg_cthun_4199645693201903_IN_AM_ME,1165823,22.42%,
8T,AR_EC_SW_VF_nzoth_yogg_cthun_4199645714340335_IN_AM_ME,1165514,22.39%,
8T,VW_VE_VF_nzoth_yogg_3078143852960751_IN_AM_ME,1165038,22.34%,
8T,AR_SP_SW_VF_nzoth_yogg_cthun_4199645709979119_IN_AM_ME,1164097,22.24%,
8T,VW_DH_VF_nzoth_yogg_cthun_4199645693140463_IN_AM_ME,1163265,22.15%,
8T,AR_SP_SW_VF_nzoth_yogg_cthun_4199645726690799_IN_AM_ME,1163181,22.14%,
8T,AR_EC_SW_VF_nzoth_yogg_cthun_4199645697563119_IN_AM_ME,1163037,22.13%,
8T,VW_DH_VF_nzoth_yogg_3078143852960751_IN_IV_ME,1162724,22.10%,
8T,AR_EC_SW_VF_nzoth_yogg_cthun_4199645680786927_IN_AM_ME,1161598,21.98%,
8T,VW_DH_VF_nzoth_yogg_cthun_4199645709917679_IN_AM_ME,1161228,21.94%,
8T,AR_SP_SW_VF_nzoth_yogg_3078143631544303_IN_AM_ME,1161105,21.93%,
8T,VW_DH_VF_nzoth_yogg_cthun_4199645679771119_IN_AM_ME,1160817,21.90%,
8T,VW_DH_VF_nzoth_yogg_3078143848538095_IN_AM_DR,1158548,21.66%,
8T,AR_SP_SW_VF_nzoth_yogg_3078143631515631_IN_AM_ME,1157249,21.52%,
8T,AR_SP_SW_VF_nzoth_yogg_3078143530881007_IN_AM_ME,1156908,21.48%,
8T,AR_EC_SW_VF_nzoth_yogg_cthun_4199645693201903_IN_AM_ME,1154978,21.28%,
8T,AR_SP_SW_VF_nzoth_yogg_cthun_4199645713292783_IN_AM_ME,1154571,21.24%,
