profile,actor,DPS,increase,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882283917293_IN_IV_ME,89360,11.30%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882283916783_IN_IV_ME,89354,11.29%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882283917293_IN_IV_ME,89090,10.96%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882283916783_IN_IV_ME,89073,10.94%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882016006125_IN_IV_ME,88915,10.74%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882016005615_IN_IV_ME,88869,10.68%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882015514605_IN_IV_ME,88810,10.61%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299881948930029_IN_IV_ME,88629,10.39%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882016006125_IN_IV_ME,88628,10.38%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882016005615_IN_IV_ME,88577,10.32%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299881948929519_IN_IV_ME,88563,10.30%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882015514605_IN_IV_ME,88531,10.26%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299881948930029_IN_IV_ME,88320,10.00%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299881948929519_IN_IV_ME,88246,9.91%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299881957285359_IN_IV_ME,88081,9.70%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299881957285359_IN_IV_ME,87753,9.30%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882087079407_IN_IV_ME,87621,9.13%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882015490029_IN_IV_ME_VT,87612,9.12%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882015489519_IN_IV_ME_VT,87571,9.07%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299881948905453_IN_IV_ME_VT,87480,8.96%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299881948904943_IN_IV_ME_VT,87417,8.88%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299881948413933_IN_IV_ME_VT,87360,8.81%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882087079407_IN_IV_ME,87321,8.76%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882281565679_IN_IV_ME_VT,87311,8.74%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882015490029_IN_IV_ME_VT,87298,8.73%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299881948413423_IN_IV_ME_VT,87294,8.72%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882281566189_IN_IV_ME_VT,87286,8.71%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882015489519_IN_IV_ME_VT,87283,8.71%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299881948905453_IN_IV_ME_VT,87170,8.57%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882281565679_IN_IV_ME_VT,87093,8.47%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299881948904943_IN_IV_ME_VT,87090,8.47%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882281566189_IN_IV_ME_VT,87053,8.42%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299881948413933_IN_IV_ME_VT,87049,8.42%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299881948413423_IN_IV_ME_VT,87015,8.38%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299881952869871_IN_IV_ME_VT,86870,8.20%,
Composite,AR_EC_SW_VF_nzoth_yogg_cthun_3299882279600109_IN_IV_ME_VT,86825,8.14%,
Composite,AR_SP_SW_VF_nzoth_yogg_cthun_3299882283916783_Mis_IV_ME,86687,7.97%,
