profile,actor,DPS,increase,
8T,Freightrunners_Flask_334-Vile_Vial_of_Volatile_Venom_334,1193355,22.01%,
8T,Freightrunners_Flask_334-Wavecallers_Seastone_334,1186427,21.30%,
8T,Freightrunners_Flask_334-Vile_Vial_of_Volatile_Venom_321,1183623,21.01%,
8T,Freightrunners_Flask_321-Vile_Vial_of_Volatile_Venom_334,1183194,20.97%,
8T,Freightrunners_Flask_334-Wavecallers_Seastone_321,1177606,20.40%,
8T,Freightrunners_Flask_321-Wavecallers_Seastone_334,1176481,20.28%,
8T,Vile_Vial_of_Volatile_Venom_334-Wavecallers_Seastone_334,1175132,20.14%,
8T,Freightrunners_Flask_334-Gebbos_Bottomless_Bag_334,1174930,20.12%,
8T,Freightrunners_Flask_321-Vile_Vial_of_Volatile_Venom_321,1173039,19.93%,
8T,Freightrunners_Flask_334-Lightspire_Core_334,1169376,19.55%,
8T,Freightrunners_Flask_321-Wavecallers_Seastone_321,1167720,19.38%,
8T,Freightrunners_Flask_334-Gebbos_Bottomless_Bag_321,1167045,19.32%,
8T,Freightrunners_Flask_321-Gebbos_Bottomless_Bag_334,1165802,19.19%,
8T,Vile_Vial_of_Volatile_Venom_321-Wavecallers_Seastone_334,1165381,19.15%,
8T,Vile_Vial_of_Volatile_Venom_334-Wavecallers_Seastone_321,1164357,19.04%,
8T,Vile_Vial_of_Volatile_Venom_334-Gebbos_Bottomless_Bag_334,1164185,19.02%,
8T,Freightrunners_Flask_334-Stormbound_Emblem_of_Dazar_334,1163926,19.00%,
8T,Freightrunners_Flask_334-Lightspire_Core_321,1162223,18.82%,
8T,Freightrunners_Flask_334-Knot_of_Writhing_Serpents_334,1159086,18.50%,
8T,Freightrunners_Flask_321-Lightspire_Core_334,1158610,18.45%,
8T,Freightrunners_Flask_321-Gebbos_Bottomless_Bag_321,1157221,18.31%,
8T,Vile_Vial_of_Volatile_Venom_334-Gebbos_Bottomless_Bag_321,1156788,18.27%,
8T,Lightspire_Core_334-Vile_Vial_of_Volatile_Venom_334,1156336,18.22%,
8T,Vile_Vial_of_Volatile_Venom_321-Wavecallers_Seastone_321,1155631,18.15%,
8T,Vile_Vial_of_Volatile_Venom_321-Gebbos_Bottomless_Bag_334,1155344,18.12%,
8T,Freightrunners_Flask_334-Gaze_of_the_Alnseer_298,1155130,18.10%,
8T,Freightrunners_Flask_334-Stormbound_Emblem_of_Dazar_321,1155119,18.10%,
8T,Freightrunners_Flask_334-Mindpiercers_Sigil_334,1155073,18.09%,
8T,Freightrunners_Flask_334-Vaelgors_Final_Stare_298,1155038,18.09%,
8T,Freightrunners_Flask_321-Stormbound_Emblem_of_Dazar_334,1154276,18.01%,
8T,Freightrunners_Flask_334-Fang_of_Umbral_Malignance_334,1153739,17.96%,
8T,Vile_Vial_of_Volatile_Venom_334-Stormbound_Emblem_of_Dazar_334,1152586,17.84%,
8T,Freightrunners_Flask_321-Lightspire_Core_321,1152302,17.81%,
8T,Freightrunners_Flask_334-Knot_of_Writhing_Serpents_321,1150888,17.66%,
8T,Lightspire_Core_321-Vile_Vial_of_Volatile_Venom_334,1149587,17.53%,
8T,Freightrunners_Flask_321-Knot_of_Writhing_Serpents_334,1149416,17.51%,
8T,Freightrunners_Flask_334-Vexhuls_Everflowing_Gland_334,1149371,17.51%,
8T,Freightrunners_Flask_334-Fang_of_Umbral_Malignance_321,1148082,17.38%,
8T,Vile_Vial_of_Volatile_Venom_321-Gebbos_Bottomless_Bag_321,1147548,17.32%,
8T,Freightrunners_Flask_334-Mindpiercers_Sigil_321,1147205,17.29%,
8T,Lightspire_Core_334-Vile_Vial_of_Volatile_Venom_321,1146659,17.23%,
8T,Knot_of_Writhing_Serpents_334-Vile_Vial_of_Volatile_Venom_334,1146578,17.22%,
8T,Freightrunners_Flask_321-Gaze_of_the_Alnseer_298,1145453,17.11%,
8T,Freightrunners_Flask_321-Mindpiercers_Sigil_334,1145315,17.09%,
8T,Freightrunners_Flask_321-Vaelgors_Final_Stare_298,1145074,17.07%,
8T,Freightrunners_Flask_321-Stormbound_Emblem_of_Dazar_321,1145050,17.07%,
8T,Freightrunners_Flask_334-Hex_Lords_Dooming_Idol_344,1144358,17.00%,
8T,Freightrunners_Flask_321-Fang_of_Umbral_Malignance_334,1144097,16.97%,
8T,Vile_Vial_of_Volatile_Venom_334-Stormbound_Emblem_of_Dazar_321,1143870,16.95%,
8T,Gebbos_Bottomless_Bag_334-Wavecallers_Seastone_334,1142983,16.86%,
8T,Vile_Vial_of_Volatile_Venom_321-Stormbound_Emblem_of_Dazar_334,1142690,16.83%,
8T,Vile_Vial_of_Volatile_Venom_334-Vaelgors_Final_Stare_298,1142471,16.80%,
8T,Vile_Vial_of_Volatile_Venom_334-Gaze_of_the_Alnseer_298,1142336,16.79%,
8T,Mindpiercers_Sigil_334-Vile_Vial_of_Volatile_Venom_334,1142199,16.78%,
8T,Vile_Vial_of_Volatile_Venom_334-Vexhuls_Everflowing_Gland_334,1142027,16.76%,
8T,Vile_Vial_of_Volatile_Venom_334-Fang_of_Umbral_Malignance_334,1141501,16.70%,
8T,Freightrunners_Flask_321-Knot_of_Writhing_Serpents_321,1141249,16.68%,
8T,Freightrunners_Flask_334-Hex_Lords_Dooming_Idol_334,1141146,16.67%,
8T,Freightrunners_Flask_321-Vexhuls_Everflowing_Gland_334,1140409,16.59%,
8T,Freightrunners_Flask_334-Vexhuls_Everflowing_Gland_321,1140084,16.56%,
8T,Knot_of_Writhing_Serpents_321-Vile_Vial_of_Volatile_Venom_334,1139698,16.52%,
8T,Lightspire_Core_321-Vile_Vial_of_Volatile_Venom_321,1139659,16.52%,
8T,Stormbound_Emblem_of_Dazar_334-Vexhuls_Everflowing_Gland_334,1138771,16.43%,
8T,Lightspire_Core_334-Wavecallers_Seastone_334,1137443,16.29%,
8T,Knot_of_Writhing_Serpents_334-Vile_Vial_of_Volatile_Venom_321,1137301,16.27%,
8T,Freightrunners_Flask_321-Mindpiercers_Sigil_321,1137048,16.25%,
8T,Freightrunners_Flask_321-Fang_of_Umbral_Malignance_321,1136702,16.21%,
8T,Vile_Vial_of_Volatile_Venom_334-Fang_of_Umbral_Malignance_321,1135346,16.08%,
8T,Gebbos_Bottomless_Bag_321-Wavecallers_Seastone_334,1135204,16.06%,
8T,Gebbos_Bottomless_Bag_334-Wavecallers_Seastone_321,1134710,16.01%,
8T,Mindpiercers_Sigil_321-Vile_Vial_of_Volatile_Venom_334,1134616,16.00%,
8T,Vile_Vial_of_Volatile_Venom_321-Vexhuls_Everflowing_Gland_334,1134398,15.98%,
8T,Vile_Vial_of_Volatile_Venom_321-Vaelgors_Final_Stare_298,1134206,15.96%,
8T,Stormbound_Emblem_of_Dazar_334-Wavecallers_Seastone_334,1133984,15.94%,
8T,Vile_Vial_of_Volatile_Venom_334-Vexhuls_Everflowing_Gland_321,1133876,15.92%,
8T,Vile_Vial_of_Volatile_Venom_321-Stormbound_Emblem_of_Dazar_321,1133773,15.91%,
8T,Freightrunners_Flask_321-Hex_Lords_Dooming_Idol_344,1133703,15.91%,
8T,Vile_Vial_of_Volatile_Venom_321-Gaze_of_the_Alnseer_298,1133675,15.90%,
8T,Mindpiercers_Sigil_334-Vile_Vial_of_Volatile_Venom_321,1133353,15.87%,
8T,Vile_Vial_of_Volatile_Venom_321-Fang_of_Umbral_Malignance_334,1132333,15.77%,
8T,Vile_Vial_of_Volatile_Venom_334-Hex_Lords_Dooming_Idol_344,1131947,15.73%,
8T,Freightrunners_Flask_321-Vexhuls_Everflowing_Gland_321,1131787,15.71%,
8T,Vexhuls_Everflowing_Gland_334-Wavecallers_Seastone_334,1131670,15.70%,
8T,Wavecallers_Seastone_334-Vaelgors_Final_Stare_298,1131224,15.65%,
8T,Freightrunners_Flask_321-Hex_Lords_Dooming_Idol_334,1130859,15.62%,
8T,Stormbound_Emblem_of_Dazar_334-Vexhuls_Everflowing_Gland_321,1130644,15.59%,
8T,Stormbound_Emblem_of_Dazar_321-Vexhuls_Everflowing_Gland_334,1129942,15.52%,
8T,Knot_of_Writhing_Serpents_321-Vile_Vial_of_Volatile_Venom_321,1129720,15.50%,
8T,Lightspire_Core_321-Wavecallers_Seastone_334,1129627,15.49%,
8T,Vile_Vial_of_Volatile_Venom_334-Hex_Lords_Dooming_Idol_334,1129021,15.43%,
8T,Lightspire_Core_334-Gebbos_Bottomless_Bag_334,1128141,15.34%,
8T,Lightspire_Core_334-Wavecallers_Seastone_321,1128125,15.34%,
8T,Knot_of_Writhing_Serpents_334-Wavecallers_Seastone_334,1127331,15.26%,
8T,Gebbos_Bottomless_Bag_321-Wavecallers_Seastone_321,1126484,15.17%,
8T,Vile_Vial_of_Volatile_Venom_321-Fang_of_Umbral_Malignance_321,1125936,15.11%,
8T,Mindpiercers_Sigil_321-Vile_Vial_of_Volatile_Venom_321,1125501,15.07%,
8T,Stormbound_Emblem_of_Dazar_334-Gebbos_Bottomless_Bag_334,1125470,15.07%,
8T,Stormbound_Emblem_of_Dazar_321-Wavecallers_Seastone_334,1124898,15.01%,
8T,Gebbos_Bottomless_Bag_334-Vexhuls_Everflowing_Gland_334,1124747,14.99%,
8T,Vexhuls_Everflowing_Gland_321-Wavecallers_Seastone_334,1124648,14.98%,
8T,Stormbound_Emblem_of_Dazar_334-Wavecallers_Seastone_321,1124555,14.97%,
8T,Wavecallers_Seastone_334-Gaze_of_the_Alnseer_298,1124522,14.97%,
8T,Vile_Vial_of_Volatile_Venom_321-Vexhuls_Everflowing_Gland_321,1124497,14.97%,
8T,Mindpiercers_Sigil_334-Wavecallers_Seastone_334,1124035,14.92%,
8T,Vexhuls_Everflowing_Gland_334-Wavecallers_Seastone_321,1123926,14.91%,
8T,Vile_Vial_of_Volatile_Venom_321-Hex_Lords_Dooming_Idol_344,1122363,14.75%,
8T,Stormbound_Emblem_of_Dazar_321-Vexhuls_Everflowing_Gland_321,1122097,14.72%,
8T,Gebbos_Bottomless_Bag_334-Vaelgors_Final_Stare_298,1121676,14.68%,
8T,Wavecallers_Seastone_321-Vaelgors_Final_Stare_298,1121505,14.66%,
8T,Fang_of_Umbral_Malignance_334-Wavecallers_Seastone_334,1121112,14.62%,
