profile,actor,DPS,increase,
Composite,Gaze_of_the_Alnseer_289-Vaelgors_Final_Stare_289,100057,20.24%,
Composite,Gaze_of_the_Alnseer_289-Locus_Walkers_Ribbon_289,99387,19.44%,
Composite,Soulcatchers_Charm_289-Gaze_of_the_Alnseer_289,98929,18.89%,
Composite,Vessel_of_Tortured_Souls_289-Gaze_of_the_Alnseer_289,98886,18.84%,
Composite,Shadow_of_the_Empyrean_Requiem_289-Gaze_of_the_Alnseer_289,98715,18.63%,
Composite,Locus_Walkers_Ribbon_289-Vaelgors_Final_Stare_289,98113,17.91%,
Composite,Heart_of_Wind_289-Gaze_of_the_Alnseer_289,97972,17.74%,
Composite,Emberwing_Feather_289-Gaze_of_the_Alnseer_289,97836,17.57%,
Composite,Gaze_of_the_Alnseer_289-Void_Reapers_Libram_276,97768,17.49%,
Composite,Soulcatchers_Charm_289-Vaelgors_Final_Stare_289,97754,17.47%,
Composite,Eye_of_the_Drowning_Void_289-Gaze_of_the_Alnseer_289,97739,17.46%,
Composite,Gaze_of_the_Alnseer_289-Litany_of_Lightblind_Wrath_289,97688,17.40%,
Composite,Vessel_of_Tortured_Souls_289-Vaelgors_Final_Stare_289,97577,17.26%,
Composite,Shadow_of_the_Empyrean_Requiem_289-Vaelgors_Final_Stare_289,97483,17.15%,
Composite,Reality_Breacher_289-Gaze_of_the_Alnseer_289,97393,17.04%,
Composite,Gaze_of_the_Alnseer_289-Galactic_Gladiators_Badge_of_Ferocity_263,97380,17.03%,
Composite,Gaze_of_the_Alnseer_289-Glorious_Crusaders_Keepsake_276,97343,16.98%,
Composite,Gaze_of_the_Alnseer_289-Wraps_of_Cosmic_Madness_289,97240,16.86%,
Composite,Gaze_of_the_Alnseer_289-Astalors_Anguish_Agitator_276,97190,16.80%,
Composite,Soulcatchers_Charm_289-Locus_Walkers_Ribbon_289,96988,16.55%,
Composite,Vessel_of_Tortured_Souls_289-Locus_Walkers_Ribbon_289,96903,16.45%,
Composite,Nevermelting_Ice_Crystal_289-Gaze_of_the_Alnseer_289,96849,16.39%,
Composite,Shadow_of_the_Empyrean_Requiem_289-Locus_Walkers_Ribbon_289,96738,16.25%,
Composite,Heart_of_Wind_289-Vaelgors_Final_Stare_289,96703,16.21%,
Composite,Gaze_of_the_Alnseer_289-Ever_Collapsing_Void_Fissure_276,96547,16.02%,
Composite,Vaelgors_Final_Stare_289-Void_Reapers_Libram_276,96542,16.02%,
Composite,Gaze_of_the_Alnseer_289-Sealed_Chaos_Urn_276,96527,16.00%,
Composite,Eye_of_the_Drowning_Void_289-Vaelgors_Final_Stare_289,96524,16.00%,
Composite,Soulcatchers_Charm_289-Vessel_of_Tortured_Souls_289,96504,15.97%,
Composite,Soulcatchers_Charm_289-Shadow_of_the_Empyrean_Requiem_289,96340,15.78%,
Composite,Vaelgors_Final_Stare_289-Wraps_of_Cosmic_Madness_289,96296,15.72%,
Composite,Vaelgors_Final_Stare_289-Glorious_Crusaders_Keepsake_276,96278,15.70%,
Composite,Vessel_of_Tortured_Souls_289-Shadow_of_the_Empyrean_Requiem_289,96245,15.66%,
Composite,Reality_Breacher_289-Vaelgors_Final_Stare_289,96221,15.63%,
Composite,Gaze_of_the_Alnseer_289-Drum_of_Renewed_Bonds_276,95973,15.33%,
Composite,Heart_of_Wind_289-Locus_Walkers_Ribbon_289,95952,15.31%,
Composite,Vaelgors_Final_Stare_289-Astalors_Anguish_Agitator_276,95855,15.19%,
Composite,Emberwing_Feather_289-Locus_Walkers_Ribbon_289,95854,15.19%,
Composite,Locus_Walkers_Ribbon_289-Void_Reapers_Libram_276,95791,15.12%,
Composite,Eye_of_the_Drowning_Void_289-Locus_Walkers_Ribbon_289,95772,15.09%,
Composite,Litany_of_Lightblind_Wrath_289-Locus_Walkers_Ribbon_289,95759,15.08%,
Composite,Soulcatchers_Charm_289-Heart_of_Wind_289,95515,14.78%,
Composite,Reality_Breacher_289-Locus_Walkers_Ribbon_289,95469,14.73%,
Composite,Vessel_of_Tortured_Souls_289-Heart_of_Wind_289,95450,14.71%,
Composite,Soulcatchers_Charm_289-Emberwing_Feather_289,95435,14.69%,
Composite,Locus_Walkers_Ribbon_289-Galactic_Gladiators_Badge_of_Ferocity_263,95407,14.65%,
Composite,Eye_of_the_Drowning_Void_289-Soulcatchers_Charm_289,95386,14.63%,
Composite,Soulcatchers_Charm_289-Void_Reapers_Libram_276,95381,14.62%,
Composite,Vessel_of_Tortured_Souls_289-Emberwing_Feather_289,95349,14.59%,
Composite,Soulcatchers_Charm_289-Litany_of_Lightblind_Wrath_289,95335,14.57%,
Composite,Vaelgors_Final_Stare_289-Ever_Collapsing_Void_Fissure_276,95317,14.55%,
Composite,Locus_Walkers_Ribbon_289-Glorious_Crusaders_Keepsake_276,95308,14.54%,
Composite,Locus_Walkers_Ribbon_289-Wraps_of_Cosmic_Madness_289,95307,14.53%,
