profile,actor,DPS,increase,
2T,Vile_Vial_of_Volatile_Venom_334,338743,9.02%,
2T,Freightrunners_Flask_334,338648,8.98%,
2T,Hex_Lords_Dooming_Idol_344,338647,8.98%,
2T,Wavecallers_Seastone_334,337985,8.77%,
2T,Darkmoon_Dominion_Hunt_331,337328,8.56%,
2T,Gebbos_Bottomless_Bag_334,336732,8.37%,
2T,Darkmoon_Dominion_Blood_331,336535,8.30%,
2T,Hex_Lords_Dooming_Idol_334,336462,8.28%,
2T,Lightspire_Core_90%_334,336416,8.27%,
2T,Freightrunners_Flask_321,336188,8.19%,
2T,Lightspire_Core_75%_334,336134,8.18%,
2T,Vile_Vial_of_Volatile_Venom_321,336116,8.17%,
2T,Lightspire_Core_50%_334,335616,8.01%,
2T,Wavecallers_Seastone_321,335439,7.95%,
2T,Fang_of_Umbral_Malignance_334,334598,7.68%,
2T,Mindpiercers_Sigil_334,334499,7.65%,
2T,Gebbos_Bottomless_Bag_321,334154,7.54%,
2T,Hex_Lords_Dooming_Idol_321,334064,7.51%,
2T,Lightspire_Core_90%_321,334018,7.49%,
2T,Vexhuls_Everflowing_Gland_334,333907,7.46%,
2T,Darkmoon_Dominion_Void_331,333847,7.44%,
2T,Drum_of_Renewed_Bonds_Crit_321,333744,7.41%,
2T,Lightspire_Core_75%_321,333640,7.37%,
2T,Lightspire_Core_50%_321,333226,7.24%,
2T,Glorious_Crusaders_Keepsake_321,332975,7.16%,
2T,Drum_of_Renewed_Bonds_Mastery_321,332871,7.13%,
2T,Knot_of_Writhing_Serpents_334,332852,7.12%,
2T,Ruby_Whelp_Shell_SRW6_334,332557,7.02%,
2T,Drum_of_Renewed_Bonds_Haste_321,332545,7.02%,
2T,Stormbound_Emblem_of_Dazar_334,332524,7.01%,
2T,Drum_of_Renewed_Bonds_Versatility_321,332454,6.99%,
2T,Sapling_of_the_Dawnroot_334,332134,6.89%,
2T,Gaze_of_the_Alnseer_298,332088,6.87%,
2T,Ruby_Whelp_Shell_URW6_334,331862,6.80%,
2T,Locus-Walkers_Ribbon_298,331792,6.78%,
2T,Fang_of_Umbral_Malignance_321,331602,6.72%,
2T,Burst_of_Knowledge_321,331491,6.68%,
2T,Mindpiercers_Sigil_321,331451,6.67%,
2T,Vaelgors_Final_Stare_298,331147,6.57%,
2T,Vexhuls_Everflowing_Gland_321,331135,6.57%,
2T,Void-Reapers_Libram_321,330966,6.51%,
2T,Emberwing_Feather_298,330592,6.39%,
2T,Crucible_of_Erratic_Energies_All_295,330492,6.36%,
2T,Ruby_Whelp_Shell_LFN6_334,330436,6.34%,
2T,Ruby_Whelp_Shell_FS6_334,330371,6.32%,
2T,Ruby_Whelp_Shell_SRW6_321,330340,6.31%,
2T,Knot_of_Writhing_Serpents_321,330064,6.22%,
2T,Stormbound_Emblem_of_Dazar_321,330009,6.20%,
2T,Ever-Collapsing_Void_Fissure_321,330001,6.20%,
2T,Darkmoon_Dominion_Rot_331,329943,6.18%,
2T,Ruby_Whelp_Shell_URW6_321,329725,6.11%,
2T,Heart_of_Wind_298,329709,6.11%,
2T,Sapling_of_the_Dawnroot_321,329565,6.06%,
2T,Font_of_Venomous_Rage_344,329121,5.92%,
2T,Sethraliss_Defiled_Relic_334,328268,5.64%,
2T,Ruby_Whelp_Shell_LFN6_321,328154,5.61%,
2T,Ruby_Whelp_Shell_FS6_321,328096,5.59%,
2T,Doperels_Calling_Rune_321,327666,5.45%,
2T,Font_of_Venomous_Rage_334,327586,5.42%,
2T,Crucible_of_Erratic_Energies_Violence_295,327282,5.33%,
2T,Crucible_of_Erratic_Energies_Sustenance_295,327064,5.26%,
2T,Lost_Idol_of_the_Hashey_321,326913,5.21%,
2T,Sethraliss_Defiled_Relic_321,326334,5.02%,
2T,Crucible_of_Erratic_Energies_Predation_295,325892,4.88%,
2T,Font_of_Venomous_Rage_321,325643,4.80%,
2T,Base,310731,0.00%,
