profile,actor,DPS,increase,
2T,Gaze_of_the_Alnseer_289,101994,11.08%,
2T,Gaze_of_the_Alnseer_276,100906,9.90%,
2T,Shadow_of_the_Empyrean_Requiem_289,100397,9.34%,
2T,Vaelgors_Final_Stare_289,100092,9.01%,
2T,Gaze_of_the_Alnseer_263,99985,8.90%,
2T,Soulcatchers_Charm_289,99600,8.48%,
2T,Locus-Walkers_Ribbon_289,99487,8.35%,
2T,Vaelgors_Final_Stare_276,99276,8.12%,
2T,Shadow_of_the_Empyrean_Requiem_276,99250,8.10%,
2T,Darkmoon_Dominion_Hunt_285,99196,8.04%,
2T,Gaze_of_the_Alnseer_250,99149,7.98%,
2T,Vessel_of_Tortured_Souls_289,99056,7.88%,
2T,Darkmoon_Dominion_Blood_285,98896,7.71%,
2T,Locus-Walkers_Ribbon_276,98788,7.59%,
2T,Emberwing_Feather_289,98756,7.56%,
2T,Vaelgors_Final_Stare_263,98616,7.40%,
2T,Vessel_of_Tortured_Souls_276,98564,7.35%,
2T,Heart_of_Wind_289,98558,7.34%,
2T,Darkmoon_Dominion_Void_285,98534,7.32%,
2T,Soulcatchers_Charm_276,98492,7.27%,
2T,Energy_Siphon_263,98434,7.21%,
2T,Wraps_of_Cosmic_Madness_289,98281,7.04%,
2T,Reality_Breacher_289,98255,7.01%,
2T,Shadow_of_the_Empyrean_Requiem_263,98205,6.96%,
2T,Eye_of_the_Drowning_Void_289,98089,6.83%,
2T,Vessel_of_Tortured_Souls_263,98066,6.81%,
2T,Locus-Walkers_Ribbon_263,98050,6.79%,
2T,Lightspire_Core_263,97975,6.71%,
2T,Vaelgors_Final_Stare_250,97943,6.67%,
2T,Heart_of_Wind_276,97898,6.62%,
2T,Glorious_Crusaders_Keepsake_276,97855,6.58%,
2T,Emberwing_Feather_276,97840,6.56%,
2T,Living_Flame_263,97719,6.43%,
2T,Litany_of_Lightblind_Wrath_289,97693,6.40%,
2T,Void-Reapers_Libram_276,97669,6.37%,
2T,Sealed_Chaos_Urn_276,97643,6.34%,
2T,Soulcatchers_Charm_263,97569,6.26%,
2T,Eye_of_the_Broodmother_263,97520,6.21%,
2T,Scale_of_Fates_263,97497,6.19%,
2T,Flare_of_the_Heavens_263,97449,6.13%,
2T,Locus-Walkers_Ribbon_250,97393,6.07%,
2T,Darkmoon_Dominion_Rot_285,97387,6.07%,
2T,Reality_Breacher_276,97367,6.04%,
2T,Heart_of_Wind_263,97301,5.97%,
2T,Eye_of_the_Drowning_Void_276,97296,5.97%,
2T,Shadow_of_the_Empyrean_Requiem_250,97294,5.96%,
2T,Glorious_Crusaders_Keepsake_263,97252,5.92%,
2T,Pandoras_Plea_263,97233,5.90%,
2T,Freightrunners_Flask_263,97225,5.89%,
2T,Astalors_Anguish_Agitator_276,97174,5.83%,
2T,Galactic_Gladiators_Insignia_of_Alacrity_263,97089,5.74%,
2T,Emberwing_Feather_263,97087,5.74%,
2T,Elemental_Focus_Stone_263,97067,5.72%,
2T,The_Skull_of_Guldan_263,97048,5.70%,
2T,Wraps_of_Cosmic_Madness_276,97024,5.67%,
2T,Ever-Collapsing_Void_Fissure_276,96995,5.64%,
2T,Mindpiercers_Sigil_263,96966,5.61%,
2T,Void-Reapers_Libram_263,96966,5.61%,
2T,Litany_of_Lightblind_Wrath_276,96947,5.59%,
2T,Galactic_Gladiators_Badge_of_Ferocity_263,96944,5.58%,
2T,Sealed_Chaos_Urn_263,96822,5.45%,
2T,Nevermelting_Ice_Crystal_289,96821,5.45%,
2T,Eye_of_the_Drowning_Void_263,96618,5.23%,
2T,Doperels_Calling_Rune_276,96539,5.14%,
2T,Sapling_of_the_Dawnroot_263,96527,5.13%,
2T,Astalors_Anguish_Agitator_263,96476,5.07%,
2T,Ever-Collapsing_Void_Fissure_263,96440,5.03%,
2T,Litany_of_Lightblind_Wrath_263,96295,4.88%,
2T,Nevermelting_Ice_Crystal_276,96239,4.82%,
2T,Drum_of_Renewed_Bonds_276,96031,4.59%,
2T,Wraps_of_Cosmic_Madness_263,95897,4.44%,
2T,Litany_of_Lightblind_Wrath_250,95741,4.27%,
2T,Burst_of_Knowledge_276,95723,4.25%,
2T,Variable_Pulse_Lightning_Capacitor_263,95538,4.05%,
2T,Drum_of_Renewed_Bonds_263,95510,4.02%,
2T,Wraps_of_Cosmic_Madness_250,94974,3.44%,
2T,Tangle_of_Vibrant_Vines_276,94233,2.63%,
2T,Tangle_of_Vibrant_Vines_263,94047,2.43%,
2T,Vanquished_Clutches_of_Yogg_Saron_263,93776,2.13%,
2T,Base,91818,0.00%,
