profile,actor,DPS,increase,
Single,Gaze_of_the_Alnseer_289,70736,13.48%,
Single,Gaze_of_the_Alnseer_276,69846,12.05%,
Single,Gaze_of_the_Alnseer_263,69048,10.77%,
Single,Gaze_of_the_Alnseer_250,68324,9.61%,
Single,Vaelgors_Final_Stare_289,68087,9.23%,
Single,Shadow_of_the_Empyrean_Requiem_289,67729,8.65%,
Single,Darkmoon_Dominion_Hunt_285,67633,8.50%,
Single,Vaelgors_Final_Stare_276,67569,8.39%,
Single,Locus-Walkers_Ribbon_289,67547,8.36%,
Single,Vessel_of_Tortured_Souls_289,67222,7.84%,
Single,Vaelgors_Final_Stare_263,67099,7.64%,
Single,Darkmoon_Dominion_Blood_285,67058,7.58%,
Single,Locus-Walkers_Ribbon_276,67039,7.54%,
Single,Shadow_of_the_Empyrean_Requiem_276,66995,7.47%,
Single,Energy_Siphon_263,66964,7.42%,
Single,Vessel_of_Tortured_Souls_276,66913,7.34%,
Single,Darkmoon_Dominion_Void_285,66849,7.24%,
Single,Heart_of_Wind_289,66646,6.91%,
Single,Vaelgors_Final_Stare_250,66631,6.89%,
Single,Living_Flame_263,66630,6.89%,
Single,Vessel_of_Tortured_Souls_263,66562,6.78%,
Single,Locus-Walkers_Ribbon_263,66555,6.77%,
Single,Lightspire_Core_263,66549,6.76%,
Single,Emberwing_Feather_289,66523,6.72%,
Single,Shadow_of_the_Empyrean_Requiem_263,66336,6.42%,
Single,Eye_of_the_Drowning_Void_289,66202,6.20%,
Single,Darkmoon_Dominion_Rot_285,66186,6.18%,
Single,Heart_of_Wind_276,66173,6.15%,
Single,Eye_of_the_Broodmother_263,66160,6.13%,
Single,Locus-Walkers_Ribbon_250,66139,6.10%,
Single,Galactic_Gladiators_Badge_of_Ferocity_263,66094,6.03%,
Single,Flare_of_the_Heavens_263,66083,6.01%,
Single,Freightrunners_Flask_263,66067,5.98%,
Single,Reality_Breacher_289,66036,5.93%,
Single,Emberwing_Feather_276,65909,5.73%,
Single,Sealed_Chaos_Urn_276,65829,5.60%,
Single,Heart_of_Wind_263,65790,5.54%,
Single,Scale_of_Fates_263,65787,5.54%,
Single,Shadow_of_the_Empyrean_Requiem_250,65775,5.52%,
Single,Pandoras_Plea_263,65763,5.50%,
Single,Elemental_Focus_Stone_263,65737,5.46%,
Single,Eye_of_the_Drowning_Void_276,65725,5.44%,
Single,Doperels_Calling_Rune_276,65673,5.35%,
Single,Galactic_Gladiators_Insignia_of_Alacrity_263,65669,5.35%,
Single,The_Skull_of_Guldan_263,65627,5.28%,
Single,Reality_Breacher_276,65579,5.20%,
Single,Burst_of_Knowledge_276,65532,5.13%,
Single,Nevermelting_Ice_Crystal_289,65507,5.09%,
Single,Litany_of_Lightblind_Wrath_289,65502,5.08%,
Single,Wraps_of_Cosmic_Madness_289,65501,5.08%,
Single,Soulcatchers_Charm_289,65487,5.05%,
Single,Emberwing_Feather_263,65448,4.99%,
Single,Sapling_of_the_Dawnroot_263,65380,4.88%,
Single,Eye_of_the_Drowning_Void_263,65316,4.78%,
Single,Sealed_Chaos_Urn_263,65273,4.71%,
Single,Drum_of_Renewed_Bonds_276,65162,4.53%,
Single,Glorious_Crusaders_Keepsake_276,65160,4.53%,
Single,Nevermelting_Ice_Crystal_276,65155,4.52%,
Single,Ever-Collapsing_Void_Fissure_276,65153,4.52%,
Single,Astalors_Anguish_Agitator_276,65152,4.52%,
Single,Soulcatchers_Charm_276,65149,4.51%,
Single,Litany_of_Lightblind_Wrath_276,65149,4.51%,
Single,Void-Reapers_Libram_276,65131,4.48%,
Single,Wraps_of_Cosmic_Madness_276,65115,4.46%,
Single,Variable_Pulse_Lightning_Capacitor_263,64857,4.04%,
Single,Glorious_Crusaders_Keepsake_263,64856,4.04%,
Single,Astalors_Anguish_Agitator_263,64845,4.02%,
Single,Ever-Collapsing_Void_Fissure_263,64839,4.01%,
Single,Soulcatchers_Charm_263,64833,4.00%,
Single,Drum_of_Renewed_Bonds_263,64816,3.98%,
Single,Litany_of_Lightblind_Wrath_263,64814,3.97%,
Single,Void-Reapers_Libram_263,64813,3.97%,
Single,Wraps_of_Cosmic_Madness_263,64813,3.97%,
Single,Wraps_of_Cosmic_Madness_250,64547,3.55%,
Single,Litany_of_Lightblind_Wrath_250,64540,3.53%,
Single,Tangle_of_Vibrant_Vines_276,63773,2.31%,
Single,Tangle_of_Vibrant_Vines_263,63691,2.17%,
Single,Vanquished_Clutches_of_Yogg_Saron_263,63662,2.13%,
Single,Mindpiercers_Sigil_263,62346,0.02%,
Single,Base,62336,0.00%,
